S.ID,r01,r12,r23,r3x,r02,r13,r2x,C0r1,C0,C1,C2,C3,C4r1,C4,C5,C5m,C6r1,C6r2,C6,C6m,Pattern,Edit,Origin,V.ID,V.freq
s136,0.01,0.21,0.26,0.52,0.22,0.47,0.78,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p4,n,o20,v470,470
s137,0.07,0.47,0.28,0.18,0.54,0.75,0.46,A,A,UNA,UNA,A,X,X,X,X,X,X,X,X,p5,v,o10,v145,145
s138,0.1,0.22,0.43,0.25,0.32,0.65,0.68,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,Y,Y,X,X,p4,v,o02,v18,18
s139,0.47,0.38,0.14,0.02,0.84,0.52,0.16,A,A,A,A,A,A,A,A,A,A,A,A,A,p3,v,o05,v25,25
s140,0.04,0.23,0.41,0.32,0.27,0.64,0.73,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,Y,Y,X,X,p5,v,o31,v958,958
s141,0.01,0.08,0.26,0.65,0.09,0.34,0.91,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,p1,n,o15,v345,345
s142,0.11,0.38,0.21,0.3,0.49,0.59,0.51,UNA,UNA,UNA,UNA,UNA,X,X,X,X,X,X,X,X,p3,p,o22,v470,470
s143,0.14,0.49,0.2,0.17,0.63,0.69,0.37,A,A,A,UNA,A,X,A,X,X,X,X,X,X,p3,v,o26,v807,807
s144,0.4,0.38,0.11,0.1,0.78,0.5,0.22,A,A,A,A,A,A,A,A,A,A,A,A,A,p3,o,o32,v958,958
s145,0.44,0.41,0.1,0.05,0.86,0.51,0.14,A,A,A,A,A,A,A,A,A,A,A,A,A,p2,n,o11,v155,155
s146,0.63,0.28,0.05,0.03,0.91,0.34,0.09,A,A,A,A,A,A,A,A,A,A,A,A,A,p4,s,o09,v111,111
s147,0.01,0.25,0.38,0.36,0.27,0.63,0.73,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,UNA,Y,Y,X,X,p2,p,o25,v807,807
